name:LowLandLions 1.6,win_rate:0.0,avg_rating:0.0,avg_kills:9.0,avg_deaths:9.3,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.3,avg_fkdiff:0.4,rounds_won:11.5,maps_winrate:{nuke:0.0,d2:0.0}
name:POPPERS,win_rate:0.43,avg_rating:0.0,avg_kills:8.5,avg_deaths:6.96,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.54,avg_fkdiff:0.62,rounds_won:11.05,maps_winrate:{inf:0.0,nuke:0.6666666666666666}
name:Tricked,win_rate:0.33,avg_rating:1.05,avg_kills:15.46,avg_deaths:15.43,avg_kast:0.7,avg_adr:73.5,avg_kddiff:0.03,avg_fkdiff:-0.17,rounds_won:10.5,maps_winrate:{inf:0.0,ovp:0.7280701754385965}
name:Dejavue,win_rate:0.3,avg_rating:0.49,avg_kills:12.18,avg_deaths:9.89,avg_kast:0.3,avg_adr:32.28,avg_kddiff:2.29,avg_fkdiff:0.65,rounds_won:10.27,maps_winrate:{mrg:0.0,cch:0.5}
name:Lucidez,win_rate:0.5,avg_rating:0.0,avg_kills:9.75,avg_deaths:5.57,avg_kast:0.0,avg_adr:0.0,avg_kddiff:4.18,avg_fkdiff:1.22,rounds_won:11.42,maps_winrate:{inf:0.0,nuke:1.0}
name:newschool,win_rate:0.0,avg_rating:0.0,avg_kills:12.0,avg_deaths:7.8,avg_kast:0.0,avg_adr:0.0,avg_kddiff:4.2,avg_fkdiff:1.6,rounds_won:8.0,maps_winrate:{inf:0.0,nuke:0.0}
name:Eternity Gaming,win_rate:0.31,avg_rating:0.0,avg_kills:6.05,avg_deaths:6.33,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.28,avg_fkdiff:-0.16,rounds_won:9.4,maps_winrate:{inf:0.0,mrg:0.5}
name:team xxx,win_rate:0.33,avg_rating:0.0,avg_kills:9.17,avg_deaths:11.28,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-2.12,avg_fkdiff:0.07,rounds_won:9.58,maps_winrate:{d2:0.0,mrg:1.0}
name:DODGY,win_rate:0.0,avg_rating:0.0,avg_kills:7.2,avg_deaths:5.1,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.1,avg_fkdiff:0.5,rounds_won:8.5,maps_winrate:{d2:0.0,trn:0.0}
name:DRUCKWELLE,win_rate:0.27,avg_rating:0.0,avg_kills:7.21,avg_deaths:7.72,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.51,avg_fkdiff:0.02,rounds_won:9.8,maps_winrate:{mrg:0.25}
name:HEADSHOTBG,win_rate:0.23,avg_rating:0.6,avg_kills:14.79,avg_deaths:13.99,avg_kast:0.4,avg_adr:43.18,avg_kddiff:0.81,avg_fkdiff:0.16,rounds_won:10.07,maps_winrate:{inf:0.0,ovp:0.5}
name:BE FIRST,win_rate:0.0,avg_rating:0.0,avg_kills:21.2,avg_deaths:13.0,avg_kast:0.0,avg_adr:0.0,avg_kddiff:8.2,avg_fkdiff:1.8,rounds_won:22.0,maps_winrate:{inf:0.0}
name:Infused,win_rate:0.27,avg_rating:1.07,avg_kills:17.17,avg_deaths:17.29,avg_kast:0.71,avg_adr:74.49,avg_kddiff:-0.13,avg_fkdiff:-0.33,rounds_won:10.17,maps_winrate:{trn:0.0,cbl:0.75}
name:MTF Gaming,win_rate:0.27,avg_rating:0.0,avg_kills:8.01,avg_deaths:7.15,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.86,avg_fkdiff:0.2,rounds_won:9.09,maps_winrate:{cch:0.0,d2:0.5}
name:Epsilon,win_rate:0.43,avg_rating:1.04,avg_kills:16.55,avg_deaths:16.61,avg_kast:0.69,avg_adr:73.62,avg_kddiff:-0.05,avg_fkdiff:0.04,rounds_won:11.27,maps_winrate:{nuke:0.0,inf:0.75}
name:WaRLegenD,win_rate:0.12,avg_rating:0.26,avg_kills:12.45,avg_deaths:10.07,avg_kast:0.17,avg_adr:19.07,avg_kddiff:2.38,avg_fkdiff:0.75,rounds_won:9.75,maps_winrate:{inf:0.0,ovp:0.0}
